node_id,branch_length,ll
0,0.1,-13415.6
0,0.2,-13388.6
0,0.5,-13355.2
0,1,-13357
1,0.1,-13407.5
1,0.2,-13383.1
1,0.5,-13354.1
1,1,-13358
2,0.1,-13384.1
2,0.2,-13370.4
2,0.5,-13353.3
2,1,-13354.8
3,0.1,-13358.3
3,0.2,-13352.3
3,0.35,-13354
3,0.5,-13362.6
4,0.1,-13532.7
4,0.2,-13452.3
4,0.5,-13362.5
4,1,-13360.6
4,2,-13418.3
5,0.1,-13353
5,0.2,-13351.8
5,0.35,-13353.2
5,0.5,-13356.9
6,0.1,-13371.8
6,0.2,-13362
6,0.5,-13351.8
6,1,-13358.6
7,0.1,-13372
7,0.2,-13361.1
7,0.5,-13351.8
7,1,-13363
8,0.1,-13380
8,0.2,-13368.3
8,0.5,-13353.3
8,1,-13354
9,0.1,-13389.2
9,0.2,-13371.6
9,0.5,-13352.4
9,1,-13359.1
10,0.1,-13352
10,0.2,-13351.9
10,0.35,-13353.6
10,0.5,-13356.6
11,0.1,-13368.4
11,0.2,-13357.9
11,0.5,-13353.1
11,1,-13374.6
12,0.1,-13464
12,0.2,-13417.4
12,0.5,-13359.4
12,1,-13357.7
12,2,-13397.2
13,0.1,-13399.3
13,0.2,-13381.7
13,0.5,-13357.2
13,1,-13352.3
13,2,-13361.9
14,0.01,-13360.4
14,0.1,-13352.5
14,0.2,-13353
14,0.5,-13380.8
15,0.1,-13529.6
15,0.2,-13438
15,0.5,-13354.2
15,1,-13381.4
16,0.1,-13371.7
16,0.2,-13361.3
16,0.5,-13351.8
16,1,-13361.2
17,0.01,-13352.1
17,0.1,-13351.8
17,0.2,-13352.5
17,0.5,-13358.5
